u: 0.6333938241004944, s: 0.002054293407127261, v: 0.2141466736793518
u: 0.99818354845047, s: 0.0032581365667283535, v: 0.14183013141155243
u: 1.3308658599853516, s: 0.002506896387785673, v: 0.12788808345794678
u: 1.4704844951629639, s: 0.00195633084513247, v: 0.10526229441165924
u: 1.4148730039596558, s: 0.0018638585461303592, v: 0.14100861549377441
u: 1.246874451637268, s: 0.0019626212306320667, v: 0.1224360466003418
u: 1.047807216644287, s: 0.0021506764460355043, v: 0.08337203413248062
u: 0.8951534628868103, s: 0.0033842059783637524, v: 0.09472566843032837
u: 0.8451559543609619, s: 0.0024383480194956064, v: 0.10054650902748108
u: 0.8921399712562561, s: 0.0018460354767739773, v: 0.08905529975891113
u: 0.9850950241088867, s: 0.0018148839008063078, v: 0.10765937715768814
u: 1.0770032405853271, s: 0.0018591268453747034, v: 0.11539991199970245
u: 1.1221078634262085, s: 0.0019097670447081327, v: 0.08651348203420639
u: 1.143232822418213, s: 0.002002463908866048, v: 0.09119157493114471
u: 1.2294046878814697, s: 0.002019904786720872, v: 0.10373500734567642
u: 1.3146193027496338, s: 0.0016058150213211775, v: 0.09259301424026489
u: 1.1646829843521118, s: 0.0015254599275067449, v: 0.08158392459154129
u: 0.9820749759674072, s: 0.0014845614787191153, v: 0.09721366316080093
u: 1.052147388458252, s: 0.0014757451135665178, v: 0.0790853425860405
u: 1.0600848197937012, s: 0.0014769453555345535, v: 0.08785022050142288
u: 0.9060275554656982, s: 0.0013238212559372187, v: 0.09540794044733047
u: 1.0349725484848022, s: 0.0013238005340099335, v: 0.08099401742219925
u: 1.0221281051635742, s: 0.001329051679931581, v: 0.08600452542304993
u: 0.8657309412956238, s: 0.001220653299242258, v: 0.09262924641370773
u: 0.8747362494468689, s: 0.0012071478413417935, v: 0.08195874094963074
u: 0.826029360294342, s: 0.0011769087286666036, v: 0.0797659158706665
u: 0.8018710017204285, s: 0.0012190592242404819, v: 0.08687292039394379
u: 0.8272316455841064, s: 0.001230655936524272, v: 0.082862988114357
